frame_index,selected_candidate_id,score,target_confidence,target_center_x,unsafe_risk,human_label,human_note
1,turn_left,0.7976,0.0346,-0.4713,0.0,,
2,turn_left,0.7916,0.0842,-0.4614,0.0,,
3,turn_left,0.7557,0.0809,-0.4021,0.0,,
38,forward_small,0.8164,0.1826,-0.1039,0.0,,
39,turn_left,0.9115,0.1046,-0.7102,0.0,,
40,turn_right,0.8937,0.721,0.6298,0.0,,
42,forward_small,0.798,0.4372,0.1404,0.0,,
43,turn_left,0.7261,0.1789,-0.3533,0.0,,
44,turn_right,0.781,0.2193,0.4439,0.0,,
46,turn_left,0.7095,0.0,0.0,0.0,,
47,forward_small,0.793,0.1604,-0.1504,0.0,,
48,turn_right,0.779,0.148,0.4406,0.0,,
49,turn_left,0.9115,0.3373,-0.7615,0.0,,
50,turn_right,0.8574,0.1408,0.57,0.0,,
